EZABPQM;Mnémo;Date_Attribution
030554;GUYA;23/09/2025
030555;NIMU;29/09/2025
030556;WRDL;13/02/2026
030557;FRTE;01/01/2024
030558;SFR0;01/01/2024
030559;ODIG;26/01/2024
030560;DIAB;17/11/2021
030561;GLOA;05/09/2025
030570;WRDL;13/02/2026
030571;BJTP;14/04/2026
030572;ALPL;04/05/2026
030573;TLVX;19/06/2026
030574;BEET;24/06/2026
030614;FRTE;01/01/2017
030615;FRTE;01/01/2017
030616;FRTE;01/01/2017
030621;FRTE;01/01/2017
030622;FRTE;01/01/2017
030624;FRTE;01/01/2017
030625;FRTE;01/01/2017
030626;FRTE;01/01/2017
030627;FRTE;01/01/2017
030628;FRTE;01/01/2017
030629;FRTE;01/01/2017
030630;FRTE;01/01/2017
030631;FRTE;01/01/2017
030633;FRTE;01/01/2017
030634;FRTE;01/01/2017
030635;FRTE;01/01/2017
030636;FRTE;01/01/2017
030637;FRTE;01/01/2017
030638;FRTE;01/01/2017
030639;FRTE;01/01/2017
030640;FRTE;01/01/2017
030641;FRTE;01/01/2017
030642;FRTE;01/01/2017
030643;FRTE;01/01/2017
030644;FRTE;01/01/2017
030645;FRTE;01/01/2017
030646;FRTE;01/01/2017
030647;FRTE;01/01/2017
030648;FRTE;01/01/2017
030650;FRTE;01/01/2017
030651;FRTE;01/01/2017
030652;FRTE;01/01/2017
030653;FRTE;01/01/2017
030654;FRTE;01/01/2017
030655;FRTE;01/01/2017
030656;FRTE;01/01/2017
030657;FRTE;01/01/2017
030658;FRTE;01/01/2017
030659;FRTE;01/01/2017
030660;FRTE;01/01/2017
030661;FRTE;01/01/2017
030662;FRTE;01/01/2017
030664;FRTE;01/01/2017
030665;FRTE;01/01/2017
030666;FRTE;01/01/2017
030669;FRTE;01/01/2017
030670;FRTE;01/01/2017
030690;FRTE;01/01/2017
030704;FRTE;01/01/2017
030705;FRTE;01/01/2017
030706;FRTE;01/01/2017
030707;FRTE;01/01/2017
030708;FRTE;01/01/2017
030880;FREE;08/01/2009
030881;FREE;08/01/2009
030900;BJTP;14/04/2026
030901;ALPL;04/05/2026
030902;BEET;24/06/2026
030930;BJTP;14/04/2026
030931;ALPL;04/05/2026
030932;TLVX;19/06/2026
030933;BEET;24/06/2026
030988;MCI;01/01/2018
030999;MCI;01/01/2018
040000;ODIG;01/02/2019
040001;SEWA;01/01/2019
040002;SFR0;08/12/2011
040003;SFR0;08/12/2011
040004;SFR0;08/12/2011
040005;ODIG;01/02/2019
040006;ODIG;01/02/2019
040007;SFR0;08/12/2011
040008;SFR0;08/12/2011
040009;SFR0;08/12/2011
040010;SFR0;08/12/2011
040011;AICT;02/04/2013
040013;GSCO;18/02/2016
040014;COMP;16/11/2010
040015;COMP;10/02/2011
040016;SFR0;08/12/2011
040017;SFR0;30/07/2013
040030;SFR0;08/12/2011
